[2023-12-11 17:33:52] Order id: 19	| status: Procesing	|
[2023-12-11 17:33:53] Order id: 9	| status: Completed	|
[2023-12-11 17:33:57] Order id: 20	| status: NotTaken	|
[2023-12-11 17:33:57] Order id: 20	| status: Procesing	|
[2023-12-11 17:33:59] Order id: 10	| status: Completed	|
[2023-12-11 17:34:02] Order id: 21	| status: NotTaken	|
[2023-12-11 17:34:02] Order id: 21	| status: Procesing	|
[2023-12-11 17:34:07] Order id: 22	| status: NotTaken	|
[2023-12-11 17:34:07] Order id: 22	| status: Procesing	|
[2023-12-11 17:34:11] Order id: 11	| status: Completed	|
[2023-12-11 17:35:31] Order id: 1	| status: NotTaken	|
[2023-12-11 17:35:31] Order id: 1	| status: Procesing	|
[2023-12-11 17:35:36] Order id: 2	| status: NotTaken	|
[2023-12-11 17:35:36] Order id: 2	| status: Procesing	|
[2023-12-11 17:35:41] Order id: 3	| status: NotTaken	|
[2023-12-11 17:35:41] Order id: 3	| status: Procesing	|
[2023-12-11 17:35:44] Order id: 1	| status: Completed	|
[2023-12-11 17:35:46] Order id: 4	| status: NotTaken	|
[2023-12-11 17:35:46] Order id: 4	| status: Procesing	|
[2023-12-11 17:35:51] Order id: 5	| status: NotTaken	|
[2023-12-11 17:35:51] Order id: 5	| status: Procesing	|
[2023-12-11 17:35:54] Order id: 2	| status: Completed	|
[2023-12-11 17:55:20] Order id: 1	| status: NotTaken	|
[2023-12-11 17:55:20] Order id: 1	| status: Procesing	|
[2023-12-11 17:55:25] Order id: 2	| status: NotTaken	|
[2023-12-11 17:55:25] Order id: 2	| status: Procesing	|
[2023-12-11 17:55:30] Order id: 3	| status: NotTaken	|
[2023-12-11 17:55:30] Order id: 3	| status: Procesing	|
[2023-12-11 17:55:33] Order id: 1	| status: Completed	|
[2023-12-11 17:55:35] Order id: 4	| status: NotTaken	|
[2023-12-11 17:55:35] Order id: 4	| status: Procesing	|
[2023-12-11 17:55:40] Order id: 5	| status: NotTaken	|
[2023-12-11 17:55:40] Order id: 5	| status: Procesing	|
[2023-12-11 17:56:14] Order id: 1	| status: NotTaken	|
[2023-12-11 17:56:14] Order id: 1	| status: Procesing	|
[2023-12-11 17:56:19] Order id: 2	| status: NotTaken	|
[2023-12-11 17:56:19] Order id: 2	| status: Procesing	|
[2023-12-11 17:56:24] Order id: 3	| status: NotTaken	|
[2023-12-11 17:56:24] Order id: 3	| status: Procesing	|
[2023-12-11 17:56:27] Order id: 1	| status: Completed	|
[2023-12-11 17:58:41] Order id: 1	| status: NotTaken	|
[2023-12-11 17:58:41] Order id: 1	| status: Procesing	|
[2023-12-11 17:58:46] Order id: 2	| status: NotTaken	|
[2023-12-11 17:58:46] Order id: 2	| status: Procesing	|
[2023-12-11 17:58:51] Order id: 3	| status: NotTaken	|
[2023-12-11 17:58:51] Order id: 3	| status: Procesing	|
[2023-12-11 17:58:54] Order id: 1	| status: Completed	|
[2023-12-11 17:58:56] Order id: 4	| status: NotTaken	|
[2023-12-11 17:58:56] Order id: 4	| status: Procesing	|
[2023-12-11 17:59:28] Order id: 1	| status: NotTaken	|
[2023-12-11 17:59:28] Order id: 1	| status: Procesing	|
[2023-12-11 17:59:33] Order id: 2	| status: NotTaken	|
[2023-12-11 17:59:33] Order id: 2	| status: Procesing	|
[2023-12-11 18:00:11] Order id: 1	| status: NotTaken	|
[2023-12-11 18:00:11] Order id: 1	| status: Procesing	|
[2023-12-11 18:00:16] Order id: 2	| status: NotTaken	|
[2023-12-11 18:00:16] Order id: 2	| status: Procesing	|
[2023-12-11 18:00:21] Order id: 3	| status: NotTaken	|
[2023-12-11 18:00:21] Order id: 3	| status: Procesing	|
[2023-12-11 18:05:52] Order id: 1	| status: NotTaken	|
[2023-12-11 18:05:52] Order id: 1	| status: Procesing	|
[2023-12-11 18:05:57] Order id: 2	| status: NotTaken	|
[2023-12-11 18:05:57] Order id: 2	| status: Procesing	|
[2023-12-11 18:06:02] Order id: 3	| status: NotTaken	|
[2023-12-11 18:06:02] Order id: 3	| status: Procesing	|
[2023-12-11 18:06:05] Order id: 1	| status: Completed	|
[2023-12-11 18:06:07] Order id: 4	| status: NotTaken	|
[2023-12-11 18:06:07] Order id: 4	| status: Procesing	|
[2023-12-11 18:06:12] Order id: 5	| status: NotTaken	|
[2023-12-11 18:06:12] Order id: 5	| status: Procesing	|
[2023-12-11 18:08:39] Order id: 1	| status: NotTaken	|
[2023-12-11 18:08:39] Order id: 1	| status: Procesing	|
[2023-12-11 18:08:44] Order id: 2	| status: NotTaken	|
[2023-12-11 18:08:44] Order id: 2	| status: Procesing	|
[2023-12-11 18:08:49] Order id: 3	| status: NotTaken	|
[2023-12-11 18:08:49] Order id: 3	| status: Procesing	|
[2023-12-11 18:08:52] Order id: 1	| status: Completed	|
[2023-12-11 18:08:54] Order id: 4	| status: NotTaken	|
[2023-12-11 18:08:54] Order id: 4	| status: Procesing	|
[2023-12-11 18:13:07] Order id: 1	| status: NotTaken	|
[2023-12-11 18:13:07] Order id: 1	| status: Procesing	|
[2023-12-11 18:13:12] Order id: 2	| status: NotTaken	|
[2023-12-11 18:13:12] Order id: 2	| status: Procesing	|
[2023-12-11 18:13:17] Order id: 3	| status: NotTaken	|
[2023-12-11 18:13:17] Order id: 3	| status: Procesing	|
[2023-12-11 18:13:20] Order id: 1	| status: Completed	|
[2023-12-11 18:13:22] Order id: 4	| status: NotTaken	|
[2023-12-11 18:13:22] Order id: 4	| status: Procesing	|
[2023-12-11 18:13:27] Order id: 5	| status: NotTaken	|
[2023-12-11 18:13:27] Order id: 5	| status: Procesing	|
[2023-12-11 18:13:32] Order id: 6	| status: NotTaken	|
[2023-12-11 18:13:32] Order id: 6	| status: Procesing	|
[2023-12-11 18:13:32] Order id: 2	| status: Completed	|
[2023-12-11 18:13:37] Order id: 7	| status: NotTaken	|
[2023-12-11 18:13:37] Order id: 7	| status: Procesing	|
[2023-12-11 18:13:38] Order id: 3	| status: Completed	|
[2023-12-11 18:13:42] Order id: 8	| status: NotTaken	|
[2023-12-11 18:13:42] Order id: 8	| status: Procesing	|
[2023-12-11 18:13:47] Order id: 9	| status: NotTaken	|
[2023-12-11 18:13:47] Order id: 9	| status: Procesing	|
[2023-12-11 18:13:50] Order id: 4	| status: Completed	|
[2023-12-11 18:13:52] Order id: 10	| status: NotTaken	|
[2023-12-11 18:13:52] Order id: 10	| status: Procesing	|
[2023-12-11 18:13:56] Order id: 5	| status: Completed	|
[2023-12-11 18:13:57] Order id: 11	| status: NotTaken	|
[2023-12-11 18:13:57] Order id: 11	| status: Procesing	|
[2023-12-11 18:14:02] Order id: 12	| status: NotTaken	|
[2023-12-11 18:14:02] Order id: 12	| status: Procesing	|
[2023-12-11 18:14:07] Order id: 13	| status: NotTaken	|
[2023-12-11 18:14:07] Order id: 13	| status: Procesing	|
[2023-12-11 18:14:08] Order id: 6	| status: Completed	|
[2023-12-11 18:14:12] Order id: 14	| status: NotTaken	|
[2023-12-11 18:14:12] Order id: 14	| status: Procesing	|
[2023-12-11 18:14:17] Order id: 15	| status: NotTaken	|
[2023-12-11 18:14:17] Order id: 15	| status: Procesing	|
[2023-12-11 18:14:20] Order id: 7	| status: Completed	|
[2023-12-11 18:14:22] Order id: 16	| status: NotTaken	|
[2023-12-11 18:14:22] Order id: 16	| status: Procesing	|
[2023-12-11 18:14:26] Order id: 8	| status: Completed	|
[2023-12-11 18:14:27] Order id: 17	| status: NotTaken	|
[2023-12-11 18:14:27] Order id: 17	| status: Procesing	|
[2023-12-11 18:14:32] Order id: 18	| status: NotTaken	|
[2023-12-11 18:14:32] Order id: 18	| status: Procesing	|
[2023-12-11 18:14:37] Order id: 19	| status: NotTaken	|
[2023-12-11 18:14:37] Order id: 19	| status: Procesing	|
[2023-12-11 18:14:38] Order id: 9	| status: Completed	|
[2023-12-11 18:14:42] Order id: 20	| status: NotTaken	|
[2023-12-11 18:14:42] Order id: 20	| status: Procesing	|
[2023-12-11 18:14:44] Order id: 10	| status: Completed	|
[2023-12-11 18:14:47] Order id: 21	| status: NotTaken	|
[2023-12-11 18:14:47] Order id: 21	| status: Procesing	|
[2023-12-11 18:14:52] Order id: 22	| status: NotTaken	|
[2023-12-11 18:14:52] Order id: 22	| status: Procesing	|
[2023-12-11 18:14:56] Order id: 11	| status: Completed	|
[2023-12-11 18:14:57] Order id: 23	| status: NotTaken	|
[2023-12-11 18:14:57] Order id: 23	| status: Procesing	|
[2023-12-11 18:15:02] Order id: 24	| status: NotTaken	|
[2023-12-11 18:15:02] Order id: 24	| status: Procesing	|
[2023-12-11 18:15:07] Order id: 25	| status: NotTaken	|
[2023-12-11 18:15:07] Order id: 25	| status: Procesing	|
[2023-12-11 18:15:08] Order id: 12	| status: Completed	|
[2023-12-11 18:15:12] Order id: 26	| status: NotTaken	|
[2023-12-11 18:15:12] Order id: 26	| status: Procesing	|
[2023-12-11 18:15:14] Order id: 13	| status: Completed	|
[2023-12-11 18:15:17] Order id: 27	| status: NotTaken	|
[2023-12-11 18:15:17] Order id: 27	| status: Procesing	|
[2023-12-11 18:15:22] Order id: 28	| status: NotTaken	|
[2023-12-11 18:15:22] Order id: 28	| status: Procesing	|
[2023-12-11 18:15:26] Order id: 14	| status: Completed	|
[2023-12-11 18:15:27] Order id: 29	| status: NotTaken	|
[2023-12-11 18:15:27] Order id: 29	| status: Procesing	|
[2023-12-11 18:15:32] Order id: 30	| status: NotTaken	|
[2023-12-11 18:15:32] Order id: 30	| status: Procesing	|
[2023-12-11 18:15:32] Order id: 15	| status: Completed	|
[2023-12-11 18:15:37] Order id: 31	| status: NotTaken	|
[2023-12-11 18:15:37] Order id: 31	| status: Procesing	|
[2023-12-11 18:15:42] Order id: 32	| status: NotTaken	|
[2023-12-11 18:15:42] Order id: 32	| status: Procesing	|
[2023-12-11 18:15:44] Order id: 16	| status: Completed	|
[2023-12-11 18:15:47] Order id: 33	| status: NotTaken	|
[2023-12-11 18:15:47] Order id: 33	| status: Procesing	|
[2023-12-11 18:16:12] Order id: 1	| status: NotTaken	|
[2023-12-11 18:16:12] Order id: 1	| status: Procesing	|
[2023-12-11 18:16:17] Order id: 2	| status: NotTaken	|
[2023-12-11 18:16:17] Order id: 2	| status: Procesing	|
[2023-12-11 18:16:22] Order id: 3	| status: NotTaken	|
[2023-12-11 18:16:22] Order id: 3	| status: Procesing	|
